tt_id,movie_name,domestic_box_office,budget,month,year,opening_week,screens,genres,mpaa,runtime
tt6166392,Wonka,218402312,,12,2023,39005800,4203,Adventure Comedy Family Fantasy Musical,PG,116
tt6495056,Migration,127306285,,12,2023,12453275,3761,Adventure Animation Comedy Family,PG,83
tt9663764,Aquaman and the Lost Kingdom,124481226,,12,2023,27686211,3706,Action Adventure Fantasy Sci-Fi,PG-13,124
tt26047818,Anyone But You,88319668,,12,2023,6000344,3055,Comedy Romance,R,103
tt1200263,The Color Purple,60619191,,12,2023,11737072,3203,Drama Musical,PG-13,141
tt23289160,Godzilla Minus One,56418793,,12,2023,11419975,2308,Action Adventure Drama Horror Sci-Fi,PG-13,124
tt1856080,The Boys in the Boat,52641306,,12,2023,8400548,2557,Biography Drama Sport,PG-13,123
tt6587046,The Boy and the Heron,46830188,,12,2023,13011722,2205,Adventure Animation Drama Family Fantasy,PG-13,124
tt21064584,The Iron Claw,35070296,,12,2023,4868370,2774,Biography Drama Sport,R,132
tt14230458,Poor Things,34553225,,12,2023,661230,9,Comedy Drama Romance Sci-Fi,R,141
tt29354040,Renaissance: A Film by Beyoncé,33889684,,12,2023,21801216,2539,Documentary Music,,169
tt23561236,American Fiction,21098470,,12,2023,224469,7,Comedy Drama,R,117
tt3758542,Ferrari,18550028,,12,2023,3921773,2386,Biography Drama History Sport,R,130
tt13751694,Animal,15004482,,12,2023,6524534,698,Action Crime Drama Thriller,,204
tt19406606,The Shift,12118219,,12,2023,4300165,2450,Action Romance Sci-Fi Thriller,PG-13,115
tt13927994,Salaar,8929282,,12,2023,5618511,802,Action Crime Drama Thriller,,175
tt7160372,The Zone of Interest,8659464,,12,2023,,,Drama History War,PG-13,105
tt15799866,Silent Night,8012103,,12,2023,3010207,1870,Action Thriller,R,104
tt15428134,Dunki,7460159,,12,2023,2714469,551,Comedy Drama,,160
tt15477042,Waitress: The Musical,5402148,,12,2023,2847421,1214,Comedy Drama Musical,,144
tt13321244,Origin,4689830,,12,2023,117063,2,Drama History,PG-13,141
tt21192142,All of Us Strangers,4050103,,12,2023,117965,4,Drama Fantasy Romance,R,105
tt0095016,Die Hard,2048453,28000000,12,2023,934421,1355,Action Thriller,,132
tt5198890,Eileen,1435007,,12,2023,93290,6,Drama Mystery Thriller,R,97
tt20420628,Freud's Last Session,906283,,12,2023,45590,5,Drama,PG-13,108
tt0071853,Monty Python and the Holy Grail,734696,,12,2023,478142,767,Adventure Comedy Fantasy,,91
tt30247072,Seventeen Tour Follow to Japan: Live Viewing,733654,,12,2023,733654,468,Music,,210
tt26612950,The Teachers' Lounge,628218,,12,2023,14611,3,Drama,PG-13,98
tt0314331,Love Actually,525266,40000000,12,2023,283956,927,Comedy Drama Romance,R,135
tt0096754,The Abyss,520104,,12,2023,,,Adventure Drama Mystery Sci-Fi Thriller,PG-13,140
tt18925050,The Oath,509470,,12,2023,232833,640,Action Adventure Drama History Romance,PG-13,104
tt27502250,Anselm,508895,,12,2023,56241,2,Documentary,,93
tt19864828,Memory,381052,,12,2023,36356,2,Drama,R,103
tt27546190,The Sweet East,337152,,12,2023,30969,1,Drama,,104
tt22813112,Noryang: Deadly Sea,315245,,12,2023,19333,4,Action Biography History War,,152
tt28567651,Unit 262,160357,,12,2023,73234,52,Action,,84
tt20330434,The Crime Is Mine,109587,,12,2023,10134,3,Comedy Crime,,102
tt10709114,Immediate Family,66379,,12,2023,46009,81,Documentary Music,,102
tt30979453,Who Can See Forever,41292,,12,2023,,,,,80
tt21054736,Teddy's Christmas,38953,,12,2023,20935,191,Adventure Family,G,76
tt16987062,La Syndicaliste,30143,,12,2023,8306,1,Drama Thriller,,121
tt21382354,Godard Cinema,23257,,12,2023,5251,3,Documentary,,100
tt29630400,Day by Day: The Dynasty,12929,,12,2023,4692,6,Documentary,,129
tt0082206,Clean Slate,11527,,12,2023,3500,1,Comedy Crime Drama,,128
tt12797976,The Kennedy Incident,8288,,12,2023,4510,2,Adventure Drama,,101
tt27148236,Total Trust,7835,,12,2023,3263,1,Documentary,,97
tt24082644,Pianoforte,5500,,12,2023,5500,1,Documentary Music,,91
tt28487580,How I Learned to Fly,5125,,12,2023,,,Drama,,104
tt11893676,Lord of Misrule,3717,,12,2023,2662,36,Horror,,104
